"cid"	"pid1"	"pid2"	"relation"	"location"	"locid"	"department"	"startdate"	"stopdate"	"addedby"	"dateadded"
"140"	"136"	"137"	"2"	"Max Planck Institute"	"150"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:22:25"
"141"	"136"	"45"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:22:56"
"142"	"25"	"23"	"1"	"Princeton University"	"238"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:44:12"
"143"	"18"	"23"	"1"	"Princeton University"	"238"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:44:29"
"144"	"138"	"53"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 17:24:43"
"145"	"99"	"40"	"4"	"Stanford University"	"277"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 19:51:47"
"146"	"99"	"100"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 19:53:52"
"147"	"11"	"14"	"2"	"Massachusetts Institute of Technology"	"172"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 20:03:11"
"148"	"110"	"115"	"1"	"University of Oxford"	"228"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 20:20:15"
"149"	"40"	"139"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"1980-00-00"	"hayden"	"2005-01-16 20:45:19"
"150"	"29"	"140"	"1"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 20:52:29"
"151"	"20"	"24"	"2"	"Baylor College of Medicine"	"20"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 20:53:51"
"152"	"111"	"110"	"2"	"McGill University"	"160"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 21:04:38"
"153"	"111"	"119"	"1"	"Harvard University"	"86"	\N	"0000-00-00"	"1936-00-00"	"hayden"	"2005-01-16 21:05:37"
"154"	"45"	"129"	"2"	"Stanford University"	"277"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 21:41:35"
"155"	"37"	"142"	"0"	"University of Michigan, Ann Arbor"	"405"	\N	"1958-00-00"	"1958-00-00"	"hayden"	"2005-01-17 00:50:19"
"156"	"37"	"143"	"1"	"University of Michigan, Ann Arbor"	"405"	\N	"1958-00-00"	"1961-00-00"	"hayden"	"2005-01-17 00:53:18"
"157"	"143"	"144"	"1"	"Harvard University"	"86"	\N	"1947-00-00"	"1952-00-00"	"hayden"	"2005-01-17 00:57:19"
"158"	"143"	"111"	"2"	"McGill University"	"160"	\N	"1952-00-00"	"1954-00-00"	"hayden"	"2005-01-17 00:58:45"
"159"	"144"	"49762"	"1"	"Brown University"	"30"	\N	"1940-00-00"	"1947-00-00"	"hayden"	"2005-01-17 01:10:17"
"161"	"12561"	"52639"	"1"	"University of Washington, Seattle"	"464"	\N	"1967-00-00"	"1971-00-00"	"hayden"	"2005-01-17 01:21:03"
"162"	"148"	"147"	"1"	"University of Leipzig"	"393"	\N	"0000-00-00"	"1886-00-00"	"hayden"	"2005-01-17 01:21:55"
"163"	"149"	"148"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 01:22:24"
"164"	"150"	"149"	"1"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 01:23:12"
"165"	"145"	"150"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 01:23:47"
"169"	"154"	"122"	"1"	"University of Chicago"	"3797"	\N	"0000-00-00"	"1905-00-00"	"hayden"	"2005-01-17 10:18:33"
"170"	"155"	"154"	"1"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:20:06"
"171"	"156"	"155"	"1"	"University of Missouri "	"407"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:20:44"
"172"	"158"	"148"	"1"	"Columbia University"	"54"	\N	"0000-00-00"	"1913-00-00"	"hayden"	"2005-01-17 10:34:33"
"173"	"148"	"159"	"2"	""	"1"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:41:39"
"175"	"161"	"147"	"1"	"University of Leipzig"	"393"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:45:24"
"176"	"162"	"147"	"1"	"University of Leipzig"	"393"	\N	"0000-00-00"	"1887-00-00"	"hayden"	"2005-01-17 10:46:06"
"177"	"163"	"147"	"1"	"University of Leipzig"	"393"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-17 10:46:56"
